left_speed,right_speed,time
0.23200187757602328,0.22791340592625067,1760610502.5725422
0.23262971569650204,0.22868076362905806,1760610502.5823033
0.2335867641547598,0.2298504895224842,1760610502.5895712
0.2341726830851184,0.23056661265958914,1760610502.5984116
0.23469907827074146,0.23120998455312847,1760610502.606074
0.2353833088771643,0.23204626640542306,1760610502.6144738
0.23588125394400758,0.23265486593156479,1760610502.6225512
0.23670285161310586,0.2336590408604627,1760610502.632681
0.23720673540628062,0.23427489882989855,1760610502.639719
0.23802748787360112,0.23527804073440137,1760610502.6487727
0.23829811741382723,0.23560881017245547,1760610502.6558876
0.23889075812093957,0.2363331488144817,1760610502.6644826
0.2393055191151946,0.23684007891857115,1760610502.674537
0.23990304571233803,0.2375703892039687,1760610502.6830478
0.2404832692412156,0.23827955129481906,1760610502.6923301
0.24104663928590708,0.23896811468277532,1760610502.703308
0.24143562526985696,0.23944354199649187,1760610502.7123775
0.24217853389006508,0.24035154142119064,1760610502.7226393
0.24253724926576298,0.2407899713248214,1760610502.7306578
0.24290837210809918,0.24124356590989895,1760610502.7407415
0.24338270588983016,0.24182330719868134,1760610502.7494626
0.2437290799995071,0.24224665333273088,1760610502.7566457
0.24435312416695754,0.243009373981837,1760610502.7661273
0.2446373017700555,0.24335670216340116,1760610502.773682
0.24491484575052377,0.2436959225839735,1760610502.7824469
0.2453362777904176,0.24421100618828817,1760610502.7911537
0.2456107963269441,0.2445465288440428,1760610502.7992575
0.2458650222607674,0.24485724942982687,1760610502.8089983
0.24612575401700748,0.24517592157634244,1760610502.816583
0.2465277825312405,0.24566728976040506,1760610502.8247833
0.2467600046224758,0.24595111676080372,1760610502.8323278
0.24698674288002936,0.2462282412978137,1760610502.8404758
0.24735413668930387,0.24667727817581586,1760610502.8480828
0.24756625704654872,0.24693653639022622,1760610502.8558493
0.2477733380871503,0.2471896354398503,1760610502.8645775
0.24811947655753971,0.2476126935703263,1760610502.872576
0.24831285331257463,0.2478490429375912,1760610502.8823147
0.24850737172052118,0.24808678765841477,1760610502.8909025
0.24883883690766725,0.24849191177603774,1760610502.898673
0.24901459881046506,0.2487067318794573,1760610502.9085236
0.24403680736477906,0.24262276455695217,1760610502.916347
0.24879081117591004,0.24843321365944562,1760610502.925382
0.24968165448422644,0.2495220221473879,1760610502.9335325
0.249978962483565,0.2498853985910239,1760610502.9426675
0.2502666885262092,0.25023706375425564,1760610502.95037
0.250390830421932,0.25039249761794435,1760610502.9600728
0.25022292520002803,0.25025512061820476,1760610502.9676275
0.25005913919638584,0.25012111388795205,1760610502.9756322
0.24973318869857405,0.24985442711701514,1760610502.9843996
0.24974957524088312,0.2498678342879953,1760610502.9926775
0.24959750473378298,0.24974341296400426,1760610503.0005784
0.24944923570760974,0.24962210194258982,1760610503.0073419
0.24946999105111378,0.2496390835872749,1760610503.0166748
0.24915969109781233,0.249385201807301,1760610503.0245593
0.24918677093216113,0.24940735803540454,1760610503.0328817
0.24905170976314678,0.24929685344257466,1760610503.0412204
0.24891676013801373,0.24918644011292032,1760610503.0500503
0.24862228388654373,0.24894550499808124,1760610503.057151
0.24866110512902437,0.2489772678328381,1760610503.0671754
0.24854084233363793,0.24887887100024925,1760610503.0757964
0.24841892864938556,0.2487791234404064,1760610503.0833662
0.24814438412985884,0.24855449610624816,1760610503.0905774
0.24819364846616102,0.24859480329049538,1760610503.0993996
0.24808071379488553,0.24850240219581543,1760610503.1069868
0.24797073017728657,0.24841241559959812,1760610503.1156046
0.24802377257084585,0.24845581392160113,1760610503.1231983
0.24775540165600018,0.24823623771854564,1760610503.1325626
0.24781315178912122,0.24828348782746282,1760610503.1416142
0.24771703640886264,0.24820484797088765,1760610503.1506913
0.247623711777726,0.2481284914545031,1760610503.1582522
0.2473752148966438,0.24792517582452672,1760610503.1682336
0.24744127070098101,0.24797922148262086,1760610503.1769001
0.2473560661237854,0.24790950864673353,1760610503.1846035
0.24727338387422226,0.24784185953345458,1760610503.1939752
0.24719316184298337,0.24777622332607732,1760610503.202466
0.24695095992705335,0.24757805812213454,1760610503.211094
0.24703573270318202,0.24764741766623985,1760610503.2186608
0.246953533421816,0.24758016370875854,1760610503.2268324
0.2468736119039174,0.24751477337593245,1760610503.2350128
0.24665167506600846,0.24733318869037055,1760610503.2452064
0.246733543558774,0.24740017200263328,1760610503.2527118
0.2466698028303416,0.2473480204975522,1760610503.2626228
0.2466080541675451,0.2472974988643551,1760610503.2711165
0.24639615347271338,0.24712412556858368,1760610503.2800517
0.24649456920923138,0.24720464753482566,1760610503.28769
0.24642775984534174,0.24714998532800686,1760610503.295797
0.24636288767693726,0.2470969080993123,1760610503.3044982
0.24616061173970422,0.24693140960521254,1760610503.3136885
0.24625320943487175,0.24700717135580413,1760610503.322674
0.24620482955290715,0.24696758781601494,1760610503.3321116
0.24587228949331286,0.2466955095854378,1760610503.339652
0.2459712223556625,0.24677645465463294,1760610503.348191
0.24606795417678987,0.24685559887191902,1760610503.3575163
0.24587818657414073,0.2467003344697515,1760610503.365624
0.2459893364279016,0.24679127525919223,1760610503.3741665
0.24579119683479184,0.2466291610466479,1760610503.3823192
0.2458918622375474,0.2467115236489024,1760610503.39154
0.24570996953668653,0.24656270234819808,1760610503.3995943
0.24582525546686937,0.24665702720016583,1760610503.409631
0.24550242215982715,0.2463928908580404,1760610503.4175897
0.24562285593076963,0.24649142757972062,1760610503.4254599
0.24558299247833898,0.24645881202773193,1760610503.43347
0.2455576095390151,0.24643804416828508,1760610503.4444137
0.24537754441762985,0.24629071815987896,1760610503.452967
0.24551481926452484,0.24640303394370214,1760610503.4613378
0.24549234059300062,0.24638464230336415,1760610503.4690037
0.2454574282190719,0.2463560776337861,1760610503.4778736
0.24528291992156404,0.24621329811764334,1760610503.487187
0.24540874196299625,0.24631624342426967,1760610503.494548
0.24537697683915866,0.24629025377749345,1760610503.5028565
0.24534636082192834,0.24626520430885046,1760610503.5107229
0.2451915615959782,0.24613855039670943,1760610503.5212147
0.2453053572386059,0.24623165592249574,1760610503.5284748
0.24529152286930606,0.24622033689306858,1760610503.5369973
0.24527842935148705,0.24620962401485308,1760610503.5458353
0.24954142403601065,0.24935062937734637,1760610503.5534925
0.24453038660826235,0.24559758904312373,1760610503.563583
0.24942404621130917,0.2492071675916001,1760610503.5724483
0.24435486560522351,0.24545398094972834,1760610503.5812097
0.24477288481346515,0.2457959966655624,1760610503.5893443
0.23757288481346517,0.23859599666556242,1760610503.5979145
0.23117288481346515,0.2321959966655624,1760610503.6054187
0.22477288481346513,0.2257959966655624,1760610503.6133215
0.21837288481346515,0.2193959966655624,1760610503.6223454
0.21117288481346516,0.2121959966655624,1760610503.6310985
0.20477288481346514,0.2057959966655624,1760610503.6376338
0.19837288481346513,0.1993959966655624,1760610503.6465583
0.19197288481346514,0.19299599666556239,1760610503.6535468
0.18557288481346512,0.1865959966655624,1760610503.662975
0.17917288481346513,0.18019599666556238,1760610503.6695073
0.17277288481346512,0.17379599666556236,1760610503.6783
0.1663728848134651,0.16739599666556237,1760610503.6875253
0.15917288481346512,0.1601959966655624,1760610503.6955714
0.15277288481346513,0.15379599666556237,1760610503.7026122
0.15181325605427504,0.14818674394572498,1760610503.7110164
0.15102754620358871,0.1489724537964113,1760610503.7209768
0.15100465393956336,0.14899534606043666,1760610503.7290554
0.15095688844458768,0.1490431115554123,1760610503.7356353
0.15093557279741693,0.14906442720258306,1760610503.744679
0.15169000015008002,0.14830999984992,1760610503.7531924
0.1508080021235897,0.14919199787641033,1760610503.7623856
0.15078773699981726,0.14921226300018273,1760610503.7714167
0.15076798567775287,0.14923201432224711,1760610503.77891
0.15072647350892876,0.14927352649107123,1760610503.7882068
0.15071028940992387,0.14928971059007615,1760610503.79572
0.1506722658832074,0.14932773411679262,1760610503.8056853
0.15065541370469107,0.14934458629530895,1760610503.8142846
0.1505948442321999,0.1494051557678001,1760610503.823583
0.15057992879626292,0.14942007120373707,1760610503.8317564
0.15056539145622846,0.14943460854377152,1760610503.8403363
0.15053080331565824,0.14946919668434178,1760610503.8483918
0.15049561222725508,0.14950438777274494,1760610503.8556478
0.1504845719881185,0.1495154280118815,1760610503.8659377
0.15045195432763767,0.14954804567236235,1760610503.8724885
0.15039736685724028,0.1496026331427597,1760610503.8824482
0.15038851097077366,0.14961148902922633,1760610503.8914084
0.15037876965727415,0.14962123034272584,1760610503.9002168
0.15034772455878254,0.14965227544121745,1760610503.9072616
0.1503399780962176,0.1496600219037824,1760610503.9177434
0.15030996181119596,0.14969003818880405,1760610503.9270017
0.1502595915585825,0.14974040844141748,1760610503.9337995
0.15025308081103142,0.14974691918896857,1760610503.9411435
0.1502474419000622,0.14975255809993782,1760610503.9498484
0.15024193001572372,0.1497580699842763,1760610503.957706
0.15021527694914413,0.14978472305085586,1760610503.9677632
0.15018933322189448,0.1498106667781055,1760610503.9763906
0.1501845867308371,0.14981541326916292,1760610503.9852037
0.1501379325250168,0.1498620674749832,1760610503.9911108
0.15013485892202974,0.14986514107797028,1760610504.0003753
0.1501318545630154,0.1498681454369846,1760610504.0085483
0.15010800057250667,0.14989199942749332,1760610504.0168357
0.1501055947604118,0.1498944052395882,1760610504.0248013
0.15008239056545322,0.1499176094345468,1760610504.034699
0.15003900331902675,0.14996099668097324,1760610504.0427532
0.15003802512873823,0.14996197487126176,1760610504.0510516
0.1500371779246428,0.1499628220753572,1760610504.0606055
0.15001567020423717,0.14998432979576282,1760610504.06772
0.15001527735618944,0.14998472264381055,1760610504.0757143
0.14999442045798578,0.15000557954201424,1760610504.0846276
0.14999454474210833,0.15000545525789166,1760610504.0931418
0.14995392669895036,0.15004607330104966,1760610504.1006618
0.14995495332388478,0.15004504667611523,1760610504.1092958
0.14995595682115945,0.15004404317884057,1760610504.1186082
0.14993678358022075,0.15006321641977927,1760610504.1265252
0.14991819877890075,0.15008180122109926,1760610504.1342514
0.149920021088758,0.15007997891124203,1760610504.1411302
0.14988175490829853,0.1501182450917015,1760610504.1507123
0.14988438996910566,0.15011561003089435,1760610504.1585112
0.14988696566289997,0.15011303433710005,1760610504.166145
0.14986955853821396,0.15013044146178603,1760610504.1745965
0.14987246441988242,0.15012753558011757,1760610504.1809433
0.14985544598945308,0.15014455401054694,1760610504.1926126
0.1498586659897106,0.1501413340102894,1760610504.2012165
0.14984279835148892,0.1501572016485111,1760610504.2092283
0.14980749874471488,0.15019250125528513,1760610504.21901
0.14981178853725624,0.15018821146274378,1760610504.2267263
0.14981650723921636,0.15018349276078366,1760610504.2346318
0.14980106767557974,0.15019893232442028,1760610504.2440708
0.149806054589373,0.150193945410627,1760610504.2523575
0.1497909076917671,0.15020909230823293,1760610504.2604406
0.14975758020194685,0.15024241979805317,1760610504.269513
0.14976298279478883,0.15023701720521118,1760610504.2774794
0.14976892555009452,0.1502310744499055,1760610504.2853346
0.14975488155949546,0.15024511844050453,1760610504.2933874
0.14976034229857427,0.15023965770142572,1760610504.3015993
0.14974655474360862,0.1502534452563914,1760610504.3093507
0.14975220051290367,0.15024779948709632,1760610504.3183906
0.14971975141684843,0.1502802485831516,1760610504.3272357
0.1497267790642304,0.15027322093576959,1760610504.3358324
0.1497336285549935,0.1502663714450065,1760610504.3444743
0.14972066478589205,0.15027933521410797,1760610504.351757
0.14970887329343022,0.1502911267065698,1760610504.3600547
0.14971535893116575,0.15028464106883424,1760610504.368999
0.14968439089678137,0.15031560910321864,1760610504.377051
0.14969142429494933,0.15030857570505066,1760610504.3846803
0.149698299230775,0.15030170076922503,1760610504.3928177
0.14968646326540594,0.15031353673459408,1760610504.401742
0.1496934481450113,0.15030655185498873,1760610504.4088395
0.14968263517376054,0.15031736482623947,1760610504.416676
0.14968970451783642,0.1503102954821636,1760610504.4256365
0.14965989846230784,0.15034010153769217,1760610504.4332104
0.14966747680616374,0.15033252319383628,1760610504.442768
0.14967488442518034,0.15032511557481965,1760610504.4509082
0.14966476668578363,0.15033523331421636,1760610504.46085
0.14965500359563302,0.150344996404367,1760610504.4686046
0.14966365253673725,0.15033634746326277,1760610504.4770162
0.14963507351219887,0.15036492648780114,1760610504.487488
0.1496442248565349,0.15035577514346513,1760610504.4969966
0.14965413821026444,0.15034586178973558,1760610504.506005
0.14964580868971292,0.1503541913102871,1760610504.5131567
0.1496358375700515,0.1503641624299485,1760610504.5210583
0.1496439500112036,0.1503560499887964,1760610504.5296264
0.149634083310775,0.150365916689225,1760610504.53683
0.14964223414636102,0.150357765853639,1760610504.5446072
